"""#DATE=2026-03-13 5:00:00 PM""",,,,
Description,MLFB,type,location,qty
"Industrial Ethernet FastConnect RJ45 plug 180 2x 2, RJ45 plug-in connector (10/100 Mbit/s) with rugged metal enclosure and FC connection system, for IE FC TP cable 2x 2; 180° cable outlet 1 pack = 50 units",6AV2181-5AF05-0AX0,LG,A1,9
"Industrial Ethernet FastConnect RJ45 plug 180 2x 2, RJ45 plug-in connector ",6SL3130-6TE25-5AA3,LG,A1,273
"SIMATIC ET 200SP, PROFINET, 2-port interface module IM 155-6PN/2 High Feature, 1 slot for BusAdapter, max. 64 I/O modules and 16 ET 200AL modules, S2 redundancy, multi-hotswap, 0.25 ms, isochronous mode, optional PN strain relief, including server module",6SL3055-0AA00-5CA2,LG,A1,282
"SIMATIC ET 200SP, BaseUnit BU15-P16+A0+2D, BU type A0, push-in terminals, without aux. terminals, new load group, WxH: 15x 117 mm
",6ES7193-6AR00-0AA0,LG,A2,304
"SIMATIC ET 200SP, BaseUnit BU15-P16+A0+2B, BU type A0, Push-in terminals, without AUX terminals, bridged to the left, WxH: 15x 117 mm",6ES7131-6BH01-0BA0,LG,A2,703
"SIMATIC S7-1500F, CPU 1515F-2 PN, central processing unit with 1.5 MB work memory for program and 4.5 MB for data, 1st interface: PROFINET IRT with 2-port switch, 2nd interface: PROFINET RT, 6 ns bit performance, SIMATIC Memory Card required *** approvals and certificates according to entry 109817466 at to be considered! ***",6ES7132-6BH01-0BA0,LG,A3,0
CPU 1515F-2 PN,6SL3210-1KE11-8AF2,LG,A3,3
"SIMATIC S7, MEMORY CARD FOR S7-1X00 CPU, 3,3 V FLASH, 256 MBYTE",6AV2128-3MB06-0AX2,LG,A3,3
"SIMATIC S7, memory cards for S7-1x 00 CPU, 3, 3V Flash, 2 GB",6SL3040-1MA01-0AA0,LG,A3,3
"SIMATIC S7-1500, mounting rail 245 mm (approx. 9.6 inch); incl. grounding screw, integrated DIN rail for mounting of incidentals such as terminals, automatic circuit breakers and relays",6SL3054-0FC01-1BA0,LG,A3,0
"SIMATIC DP, electronic module ET 200SP, F-DQ 8x24VDC/0.5A PP HF, 15 mm","6SL3054-0FC31-1BA0-Z
(6SL3077-0AA00-5AH0)",LG,A3,0
"SIMATIC DP, electronic module for ET 200SP, F-DI 8x 24 V DC HF, 15 mm width, up to PLe (ISO 13849-1)/ SIL3 (IEC 61508)",6SL3055-0AA00-4BA0,LG,A3,0
"SIMATIC DP, Electronics module for ET 200SP, F-DQ 4X24 V DC/2A, 15 mm width, up to PL E (ISO 13849) up to SIL 3 (IEC 61508)",6SL3255-0AA00-4CA1,LG,A3,0
"SIMATIC OPC UA S7-1500 Medium, Single Runtime License, contains license certificate for OPC UA server and OPC UA client Class A, executable on all ET 200SP CPUs, S7-1500 up to CPU-1516, CPU 1507S, including F and T derivatives Firmware V2.0 or higher ******************************* Content: Certificate of License",6SL3244-0BB12-1FA0,LG,A3,27
SITOP PSU300S 24 V/10 A Stabilized power supply input: 400-500 V 3 AC output: 24 V DC/ 10 A *Ex approval no longer available*,6SL3162-1AD00-0AA0,LG,A3,9
"SIMATIC PM 1507 24 V/3 A Stabilized power supply for SIMATIC S7-1500 input: 120/230 V AC, output: 24 V DC/3 A",6SL3210-1KE14-3AF2,LG,A3,0
"SCALANCE XB005 unmanaged Industrial Ethernet Switch for 10/100 Mbit/s; for setting up small star and line topologies; LED diagnostics, IP20, 24 V AC/DC power supply, with 5x 10/100 Mbit/s twisted pair ports with RJ45 sockets; Manual available as a download",6SL3000-0CE15-0AA0,LG,A3,0
"Signal cable pre-assembled type: 6FX2002-1DC00 (SINAMICS Drive CLiQ) Connector IP20/IP20, without 24 V Length (m)= 0 + 0 + 2 + 0",6SL3000-0HE15-0AA0,LG,A3,0
"SINAMICS electronic license (eCoL) Safety Integrated Extended functions *** Download Product *** E-mail address for order is mandatory
",6SL3130-6AE15-0AB1,LG,A3,4
